Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Olga,1/2/2021 4:21,0:18:01,,Cobra Kai: Season 2: Back In Black (Episode 2),,Chrome PC (Cadmium),0:19:02,0:19:02,US (United States)
Olga,1/2/2021 4:20,0:00:43,Autoplayed: user action: None; ,Season 3 Trailer: Cobra Kai,TRAILER,Chrome PC (Cadmium),0:00:43,0:00:43,US (United States)
Olga,12/31/2020 0:29,0:00:11,Autoplayed: user action: None; ,The Help_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:11,0:00:11,US (United States)
Olga,12/31/2020 0:29,0:00:05,Autoplayed: user action: None; ,Trailer: Death to 2020,TRAILER,Chrome PC (Cadmium),0:00:05,0:00:05,US (United States)
Olga,12/26/2020 23:08,0:00:07,Autoplayed: user action: None; ,How the Grinch Stole Christmas_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:07,0:00:07,US (United States)
Olga,12/26/2020 22:57,0:06:52,,Dinner for Schmucks,,Chrome PC (Cadmium),1:32:35,1:32:35,US (United States)
Olga,12/26/2020 22:56,0:00:25,Autoplayed: user action: None; ,Dinner for Schmucks_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:25,0:00:25,US (United States)
Olga,12/26/2020 22:56,0:00:06,Autoplayed: user action: None; ,Not Another Teen Movie_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:06,0:00:06,US (United States)
Olga,12/26/2020 22:56,0:00:13,Autoplayed: user action: None; ,Mr. Deeds_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:13,0:00:13,US (United States)
Olga,12/26/2020 22:55,0:00:32,Autoplayed: user action: None; ,"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton (Trailer)",TRAILER,Chrome PC (Cadmium),0:00:33,0:00:33,US (United States)
Olga,12/26/2020 22:55,0:00:19,Autoplayed: user action: None; ,Eternal Sunshine of the Spotless Mind_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:19,0:00:19,US (United States)
Olga,12/26/2020 22:54,0:00:07,,Yes Man,,Chrome PC (Cadmium),0:00:07,0:00:07,US (United States)
Olga,12/26/2020 22:53,0:00:12,Autoplayed: user action: None; ,3Below: Tales of Arcadia (Trailer),TRAILER,Chrome PC (Cadmium),0:00:12,0:00:12,US (United States)
Olga,12/26/2020 22:53,0:00:33,Autoplayed: user action: None; ,THEMIDNIGHTSKY_CLIP_SUPPORTINGCHARACTER,HOOK,Chrome PC (Cadmium),0:00:33,0:00:33,US (United States)
Olga,12/26/2020 22:50,0:02:37,Autoplayed: user action: None; ,Season 1 Trailer: Bridgerton,TRAILER,Chrome PC (Cadmium),0:02:37,0:02:37,US (United States)
Olga,12/25/2020 5:26,0:22:04,,Trollhunters: Tales of Arcadia: Part 1: Becoming: Part 1 (Episode 1),,Chrome PC (Cadmium),0:22:04,0:22:04,US (United States)
Olga,12/25/2020 5:26,0:00:17,Autoplayed: user action: None; ,The Hundred-Foot Journey_hook_04_16x9,HOOK,Chrome PC (Cadmium),0:00:17,0:00:17,US (United States)
Olga,12/25/2020 5:07,0:00:33,Autoplayed: user action: None; ,The Blacklist: Season 1_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:00,0:00:00,US (United States)
Olga,12/25/2020 5:07,0:00:05,,The Midnight Sky,,Chrome PC (Cadmium),0:00:05,0:00:05,US (United States)
Olga,12/25/2020 5:05,0:01:37,Autoplayed: user action: None; ,Trailer 2: The Midnight Sky,TRAILER,Chrome PC (Cadmium),0:01:37,0:01:37,US (United States)
Olga,12/25/2020 3:39,1:23:18,,A California Christmas,,Chrome PC (Cadmium),1:46:51,1:46:51,US (United States)
Olga,12/25/2020 3:39,0:00:05,Autoplayed: user action: None; ,Travelers: Season 3 (Trailer),TRAILER,Chrome PC (Cadmium),0:00:06,0:00:06,US (United States)
Olga,12/25/2020 3:39,0:00:10,Autoplayed: user action: None; ,Guest House_hook_01_16x9,HOOK,Chrome PC (Cadmium),0:00:10,0:00:10,US (United States)
Olga,12/25/2020 3:38,0:00:04,Autoplayed: user action: None; ,THEMIDNIGHTSKY_CLIP_SUPPORTINGCHARACTER,HOOK,Chrome PC (Cadmium),0:00:04,Not latest view,US (United States)
Olga,12/25/2020 3:38,0:00:13,Autoplayed: user action: None; ,THEMIDNIGHTSKY_CLIP_SUPPORTINGCHARACTER,HOOK,Chrome PC (Cadmium),0:00:13,Not latest view,US (United States)
Olga,12/25/2020 1:20,0:00:03,,A California Christmas,,Chrome PC (Cadmium),0:00:03,Not latest view,US (United States)
Olga,12/25/2020 1:20,0:00:05,Autoplayed: user action: None; ,Trailer: A California Christmas,TRAILER,Chrome PC (Cadmium),0:00:05,0:00:05,US (United States)
Olga,12/25/2020 1:20,0:00:09,Autoplayed: user action: None; ,Trailer: The Paramedic,TRAILER,Chrome PC (Cadmium),0:00:09,0:00:09,US (United States)
Olga,12/25/2020 1:19,0:00:04,Autoplayed: user action: None; ,THEMIDNIGHTSKY_CLIP_SUPPORTINGCHARACTER,HOOK,Chrome PC (Cadmium),0:00:04,Not latest view,US (United States)
Olga,12/24/2020 2:37,0:04:14,,Searching for Bobby Fischer,,Chrome PC (Cadmium),0:04:14,0:04:14,US (United States)
Olga,12/24/2020 2:37,0:00:17,Autoplayed: user action: None; ,Agatha and the Nightingale's Cry_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:17,0:00:17,US (United States)
Olga,12/24/2020 2:37,0:00:06,Autoplayed: user action: None; ,Hilda: Season 1 (Clip Narrative),HOOK,Chrome PC (Cadmium),0:00:06,0:00:06,US (United States)
Olga,12/24/2020 2:36,0:00:24,Autoplayed: user action: None; ,Portrait Product Preview 2: A California Christmas,PREVIEW,Chrome PC (Cadmium),0:00:24,0:00:24,US (United States)
